Имя;Телефон;Заметка;+1
Александр Иванов;+79991000000;со стороны невесты;да
Дмитрий Михайлов;+79991000001;со стороны жениха;
Максим Семёнов;+79991000002;со стороны невесты;
Сергей Смирнов;+79991000003;со стороны жениха;
Андрей Новиков;+79991000004;со стороны невесты;
Алексей Егоров;+79991000005;со стороны жениха;
Артём Кузнецов;+79991000006;со стороны невесты;
Илья Фёдорова;+79991000007;со стороны жениха;
Кирилл Павлов;+79991000008;со стороны невесты;
Михаил Попов;+79991000009;со стороны жениха;да
Никита Морозов;+79991000010;со стороны невесты;
Матвей Козлов;+79991000011;со стороны жениха;
Роман Васильев;+79991000012;со стороны невесты;
Егор Волков;+79991000013;со стороны жениха;
Арсений Степанов;+79991000014;со стороны невесты;
Иван Петров;+79991000015;со стороны жениха;
Денис Алексеев;+79991000016;со стороны невесты;
Евгений Николаев;+79991000017;со стороны жениха;
Даниил Соколов;+79991000018;со стороны невесты;да
Тимофей Лебедев;+79991000019;со стороны жениха;
Анастасия Иванов;+79991000020;со стороны невесты;
Анна Михайлова;+79991000021;со стороны жениха;
Мария Семёнов;+79991000022;со стороны невесты;
Елена Смирнова;+79991000023;со стороны жениха;
Дарья Новиков;+79991000024;со стороны невесты;
Алина Егорова;+79991000025;со стороны жениха;
Ирина Кузнецов;+79991000026;со стороны невесты;
Екатерина Фёдорова;+79991000027;со стороны жениха;да
Арина Павлов;+79991000028;со стороны невесты;
Полина Попова;+79991000029;со стороны жениха;
Ольга Морозов;+79991000030;со стороны невесты;
Юлия Козлова;+79991000031;со стороны жениха;
Татьяна Васильев;+79991000032;со стороны невесты;
Наталья Волкова;+79991000033;со стороны жениха;
Виктория Степанов;+79991000034;со стороны невесты;
Елизавета Петрова;+79991000035;со стороны жениха;
Ксения Алексеев;+79991000036;со стороны невесты;да
Милана Николаева;+79991000037;со стороны жениха;
Вероника Соколов;+79991000038;со стороны невесты;
Александра Лебедева;+79991000039;со стороны жениха;
Александр Иванов;+79991000040;со стороны невесты;
Дмитрий Михайлов;+79991000041;со стороны жениха;
Максим Семёнов;+79991000042;со стороны невесты;
Сергей Смирнов;+79991000043;со стороны жениха;
Андрей Новиков;+79991000044;со стороны невесты;
Алексей Егоров;+79991000045;со стороны жениха;да
Артём Кузнецов;+79991000046;со стороны невесты;
Илья Фёдорова;+79991000047;со стороны жениха;
Кирилл Павлов;+79991000048;со стороны невесты;
Михаил Попов;+79991000049;со стороны жениха;
Никита Морозов;+79991000050;со стороны невесты;
Матвей Козлов;+79991000051;со стороны жениха;
Роман Васильев;+79991000052;со стороны невесты;
Егор Волков;+79991000053;со стороны жениха;
Арсений Степанов;+79991000054;со стороны невесты;да
Иван Петров;+79991000055;со стороны жениха;
Денис Алексеев;+79991000056;со стороны невесты;
Евгений Николаев;+79991000057;со стороны жениха;
Даниил Соколов;+79991000058;со стороны невесты;
Тимофей Лебедев;+79991000059;со стороны жениха;
Анастасия Иванов;+79991000060;со стороны невесты;
Анна Михайлова;+79991000061;со стороны жениха;
Мария Семёнов;+79991000062;со стороны невесты;
Елена Смирнова;+79991000063;со стороны жениха;да
Дарья Новиков;+79991000064;со стороны невесты;
Алина Егорова;+79991000065;со стороны жениха;
Ирина Кузнецов;+79991000066;со стороны невесты;
Екатерина Фёдорова;+79991000067;со стороны жениха;
Арина Павлов;+79991000068;со стороны невесты;
Полина Попова;+79991000069;со стороны жениха;
Ольга Морозов;+79991000070;со стороны невесты;
Юлия Козлова;+79991000071;со стороны жениха;
Татьяна Васильев;+79991000072;со стороны невесты;да
Наталья Волкова;+79991000073;со стороны жениха;
Виктория Степанов;+79991000074;со стороны невесты;
Елизавета Петрова;+79991000075;со стороны жениха;
Ксения Алексеев;+79991000076;со стороны невесты;
Милана Николаева;+79991000077;со стороны жениха;
Вероника Соколов;+79991000078;со стороны невесты;
Александра Лебедева;+79991000079;со стороны жениха;
Александр Иванов;+79991000080;со стороны невесты;
Дмитрий Михайлов;+79991000081;со стороны жениха;да
Максим Семёнов;+79991000082;со стороны невесты;
Сергей Смирнов;+79991000083;со стороны жениха;
Андрей Новиков;+79991000084;со стороны невесты;
Алексей Егоров;+79991000085;со стороны жениха;
Артём Кузнецов;+79991000086;со стороны невесты;
Илья Фёдорова;+79991000087;со стороны жениха;
Кирилл Павлов;+79991000088;со стороны невесты;
Михаил Попов;+79991000089;со стороны жениха;
Никита Морозов;+79991000090;со стороны невесты;да
Матвей Козлов;+79991000091;со стороны жениха;
Роман Васильев;+79991000092;со стороны невесты;
Егор Волков;+79991000093;со стороны жениха;
Арсений Степанов;+79991000094;со стороны невесты;
Иван Петров;+79991000095;со стороны жениха;
Денис Алексеев;+79991000096;со стороны невесты;
Евгений Николаев;+79991000097;со стороны жениха;
Даниил Соколов;+79991000098;со стороны невесты;
Тимофей Лебедев;+79991000099;со стороны жениха;да
